id	testset_translation_id	evaluator	score	date_created
1	1	POJ-Standard-BLEU	8.86958546823721e-232	20231010
2	2	POJ-Standard-BLEU	9.47529353950703e-232	20231010
3	3	POJ-Standard-BLEU	1.08326778209409e-231	20231010
4	4	POJ-Standard-BLEU	5.31543182056401e-232	20231010
5	5	POJ-Standard-BLEU	9.78842938346184e-232	20231010
6	6	POJ-Standard-BLEU	9.5489221792564e-232	20231010
7	7	POJ-Standard-BLEU	9.37679901839059e-232	20231010
8	8	POJ-Standard-BLEU	7.53083581939412e-232	20231010
9	9	POJ-Standard-BLEU	8.17486721866677e-232	20231010
10	10	POJ-Standard-BLEU	1.23082983308556e-231	20231010
11	11	POJ-Standard-BLEU	7.3702824500681e-232	20231010
12	12	POJ-Standard-BLEU	1.05926911625557e-231	20231010
13	13	POJ-Standard-BLEU	7.19966616334092e-232	20231010
14	14	POJ-Standard-BLEU	9.15723106181202e-232	20231010
15	15	POJ-Standard-BLEU	5.0380131409573e-232	20231010
16	16	POJ-Standard-BLEU	9.14509421465151e-232	20231010
17	17	POJ-Standard-BLEU	1.28822975391942e-231	20231010
18	18	POJ-Standard-BLEU	8.68823659274719e-232	20231010
19	19	POJ-Standard-BLEU	1.08326778209409e-231	20231010
20	20	POJ-Standard-BLEU	8.64204550088941e-232	20231010
21	21	POJ-Standard-BLEU	1.00036883222882e-231	20231010
22	22	POJ-Standard-BLEU	5.98949052727987e-232	20231010
23	23	POJ-Standard-BLEU	1.03771339383157e-231	20231010
24	24	POJ-Standard-BLEU	0	20231010
25	25	POJ-Standard-BLEU	1.01449518175118e-231	20231010
26	26	POJ-Standard-BLEU	1.23405615127818e-231	20231010
27	27	POJ-Standard-BLEU	1.09724832232496e-231	20231010
28	28	POJ-Standard-BLEU	6.63039817172678e-232	20231010
29	29	POJ-Standard-BLEU	1.05183518952463e-231	20231010
30	30	POJ-Standard-BLEU	0	20231010
31	31	POJ-Standard-BLEU	3.56371649835271e-232	20231010
32	32	POJ-Standard-BLEU	1.16404698675137e-231	20231010
33	33	POJ-Standard-BLEU	9.78842938346184e-232	20231010
34	34	POJ-Standard-BLEU	1.06697339920297e-231	20231010
35	35	POJ-Standard-BLEU	1.10088767020559e-231	20231010
36	36	POJ-Standard-BLEU	8.34060433022243e-232	20231010
37	37	POJ-Standard-BLEU	1.16404698675137e-231	20231010
38	38	POJ-Standard-BLEU	1.01887755235211e-231	20231010
39	39	POJ-Standard-BLEU	8.41206564952727e-232	20231010
40	40	POJ-Standard-BLEU	0	20231010
41	41	POJ-Standard-BLEU	1.08326778209409e-231	20231010
42	42	POJ-Standard-BLEU	9.29630402706815e-232	20231010
43	43	POJ-Standard-BLEU	1.13663844078883e-231	20231010
44	44	POJ-Standard-BLEU	8.99872547859115e-232	20231010
45	45	POJ-Standard-BLEU	0	20231010
46	46	POJ-Standard-BLEU	1.03771339383157e-231	20231010
47	47	POJ-Standard-BLEU	5.92149437603371e-232	20231010
48	48	POJ-Standard-BLEU	4.23799701569333e-232	20231010
49	49	POJ-Standard-BLEU	8.84484440308935e-232	20231010
50	50	POJ-Standard-BLEU	4.28258012818983e-232	20231010
51	51	POJ-Standard-BLEU	9.85760986684202e-232	20231010
52	52	POJ-Standard-BLEU	4.40719849131462e-232	20231010
53	53	POJ-Standard-BLEU	1.10709009965927e-231	20231010
54	54	POJ-Standard-BLEU	8.53085361626694e-232	20231010
55	55	POJ-Standard-BLEU	8.72609472933795e-232	20231010
56	56	POJ-Standard-BLEU	4.8399896737998e-232	20231010
57	57	POJ-Standard-BLEU	1.10709009965927e-231	20231010
58	58	POJ-Standard-BLEU	9.01666918778251e-232	20231010
59	59	POJ-Standard-BLEU	8.0551053178924e-232	20231010
60	60	POJ-Standard-BLEU	1.12004072377867e-231	20231010
61	61	POJ-Standard-BLEU	1.07013483650973e-231	20231010
62	62	POJ-Standard-BLEU	1.26885235785086e-231	20231010
