id	evaluator_type	model_id	sample_Id	bleu	1-gram	2-gram	3-gram	4-gram
1	poj	gpt4_en_nan01_poj	1	1.29300990933539e-231	0.2537313432835820	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
2	poj	gpt4_en_nan01_poj	2	5.11963037371087e-155	0.31914893617021300	0.043478260869565200	2.22507385850726e-308	2.22507385850726e-308
3	poj	gpt4_en_nan01_poj	3	2.3778021218696e-78	0.39592959209501400	0.09615432950878910	0.03924666510562820	2.139504849723e-308
4	poj	gpt4_en_nan01_poj	4	4.16313923487541e-155	0.22297297297297300	0.027210884353741500	2.22507385850726e-308	2.22507385850726e-308
5	poj	gpt4_en_nan01_poj	5	1.26916506104939e-231	0.2896630958208800	2.07679240958604e-308	2.07679240958604e-308	2.07679240958604e-308
6	poj	gpt4_en_nan01_poj	6	5.25701295691011e-155	0.29310344827586200	0.05263157894736840	2.22507385850726e-308	2.22507385850726e-308
7	poj	gpt4_en_nan01_poj	7	0.06468237392835180	0.3432835820895520	0.10606060606060600	0.030769230769230800	0.015625000000000000
8	poj	gpt4_en_nan01_poj	8	4.13429197002377e-155	0.24193548387096800	0.024390243902439000	2.22507385850726e-308	2.22507385850726e-308
9	poj	gpt4_en_nan01_poj	9	0.07825507228316020	0.37662337662337700	0.09210526315789470	0.04000000000000000	0.02702702702702700
10	poj	gpt4_en_nan01_poj	10	5.29464782693277e-155	0.2777777777777780	0.057142857142857100	2.22507385850726e-308	2.22507385850726e-308
11	poj	gpt4_en_nan01_poj	11	4.94669677804492e-155	0.37894736842105300	0.031914893617021300	2.22507385850726e-308	2.22507385850726e-308
12	poj	gpt4_en_nan01_poj	12	1.99853630526126e-78	0.3435749499542910	0.06455044514292740	0.033388161280824500	2.15444262063802e-308
13	poj	gpt4_en_nan01_poj	13	5.55637956693863e-155	0.35135135135135100	0.0547945205479452	2.22507385850726e-308	2.22507385850726e-308
14	poj	gpt4_en_nan01_poj	14	1.91429528407451e-78	0.34545454545454500	0.09259259259259260	0.018867924528301900	2.22507385850726e-308
15	poj	gpt4_en_nan01_poj	15	0.055836720097886500	0.38636363636363600	0.09195402298850570	0.023255813953488400	0.01176470588235290
16	poj	gpt4_en_nan01_poj	16	1.27517585712592e-231	0.27508632862268800	2.12619833215639e-308	2.12619833215639e-308	2.12619833215639e-308
17	poj	gpt4_en_nan01_poj	17	1.30200957229348e-231	0.2608695652173910	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
18	poj	gpt4_en_nan01_poj	18	0.08567105702170080	0.4477103143296510	0.16668599395042400	0.04617012616524530	0.015634328436908500
19	poj	gpt4_en_nan01_poj	19	1.09099952575689e-231	0.262709209248437	1.75364218166343e-308	1.75364218166343e-308	1.75364218166343e-308
20	poj	gpt4_en_nan01_poj	20	1.28690692968291e-78	0.3150684931506850	0.02777777777777780	0.014084507042253500	2.22507385850726e-308
21	poj	gpt4_en_nan01_poj	21	3.49452132273831e-155	0.25	0.012048192771084300	2.22507385850726e-308	2.22507385850726e-308
22	poj	gpt4_en_nan01_poj	22	1.19236788585842e-231	0.23779496456460000	2.04085810030122e-308	2.04085810030122e-308	2.04085810030122e-308
23	poj	gpt4_en_nan01_poj	23	4.12786203139753e-155	0.30364068680251400	0.022205016211748500	2.07512764622064e-308	2.07512764622064e-308
24	poj	gpt4_en_nan01_poj	24	0	0	0	0	0
25	poj	gpt4_en_nan01_poj	25	0.05954415012950560	0.27586206896551700	0.07017543859649120	0.03571428571428570	0.018181818181818200
26	poj	gpt4_en_nan01_poj	26	5.17559092892041e-155	0.3333333333333330	0.043478260869565200	2.22507385850726e-308	2.22507385850726e-308
27	poj	gpt4_en_nan01_poj	27	5.53367609838427e-155	0.30303030303030300	0.0625	2.22507385850726e-308	2.22507385850726e-308
28	poj	gpt4_en_nan01_poj	28	1.10709009965927e-231	0.13636363636363600	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
29	poj	gpt4_en_nan01_poj	29	2.63722175657237e-78	0.4	0.12500000000000000	0.043478260869565200	2.22507385850726e-308
30	poj	gpt4_en_nan01_poj	30	2.44758726848316e-78	0.375	0.12903225806451600	0.03333333333333330	2.22507385850726e-308
31	poj	gpt4_en_nan01_poj	31	1.25084989119284e-231	0.2222222222222220	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
32	poj	gpt4_en_nan01_poj	32	4.82897078528229e-155	0.23884377019126300	0.08956641382172370	1.59433508795969e-308	1.59433508795969e-308
33	poj	gpt4_en_nan01_poj	33	6.7393716283177e-155	0.3333333333333330	0.12500000000000000	2.22507385850726e-308	2.22507385850726e-308
34	poj	gpt4_en_nan01_poj	34	5.79173985458328e-155	0.25	0.0909090909090909	2.22507385850726e-308	2.22507385850726e-308
35	poj	gpt4_en_nan01_poj	35	5.5548377697498e-155	0.23076923076923100	0.08333333333333330	2.22507385850726e-308	2.22507385850726e-308
36	poj	gpt4_en_nan01_poj	36	6.84899085266428e-155	0.4	0.11111111111111100	2.22507385850726e-308	2.22507385850726e-308
37	poj	gpt4_en_nan01_poj	37	6.22362950067935e-155	0.3333333333333330	0.0909090909090909	2.22507385850726e-308	2.22507385850726e-308
38	poj	gpt4_en_nan01_poj	38	0.11200905013387700	0.425531914893617	0.12903225806451600	0.06521739130434780	0.04395604395604400
39	poj	gpt4_en_nan01_poj	39	1.27174014616089e-78	0.2616822429906540	0.04716981132075470	0.009523809523809530	2.22507385850726e-308
40	poj	gpt4_en_nan01_poj	40	0	0	0	0	0
41	poj	gpt4_en_nan01_poj	41	1.16404698675137e-231	0.16666666666666700	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
42	poj	gpt4_en_nan01_poj	42	1.26128323747035e-231	0.22972972972973000	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
43	poj	gpt4_en_nan01_poj	43	1.56544947313294e-78	0.2	0.05128205128205130	0.026315789473684200	2.22507385850726e-308
44	poj	gpt4_en_nan01_poj	44	3.92175003069887e-155	0.21739130434782600	0.021978021978022000	2.22507385850726e-308	2.22507385850726e-308
45	poj	gpt4_en_nan01_poj	45	0	0	0	0	0
46	poj	gpt4_en_nan01_poj	46	5.04951021536983e-155	0.28888888888888900	0.04545454545454550	2.22507385850726e-308	2.22507385850726e-308
47	poj	gpt4_en_nan01_poj	47	3.29034718285507e-78	0.4027777777777780	0.18309859154929600	0.07142857142857140	2.22507385850726e-308
48	poj	gpt4_en_nan01_poj	48	1.24231116764126e-231	0.21621621621621600	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
49	poj	gpt4_en_nan01_poj	49	1.26885235785086e-231	0.23529411764705900	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
50	poj	gpt4_en_nan01_poj	50	1.25727678742882e-231	0.2498726908758480	2.15444262063802e-308	2.15444262063802e-308	2.15444262063802e-308
51	poj	gpt4_en_nan01_poj	51	1.29849534437236e-231	0.25806451612903200	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
52	poj	gpt4_en_nan01_poj	52	4.64769889320663e-155	0.296875	0.03174603174603170	2.22507385850726e-308	2.22507385850726e-308
53	poj	gpt4_en_nan01_poj	53	1.12004072377867e-231	0.14285714285714300	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
54	poj	gpt4_en_nan01_poj	54	0.04111269047888990	0.25301204819277100	0.03658536585365850	0.02469135802469140	0.012500000000000000
55	poj	gpt4_en_nan01_poj	55	1.18720040501542e-231	0.18032786885245900	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
56	poj	gpt4_en_nan01_poj	56	4.84232748374333e-155	0.3387096774193550	0.03278688524590160	2.22507385850726e-308	2.22507385850726e-308
57	poj	gpt4_en_nan01_poj	57	7.05366316361922e-155	0.375	0.13333333333333300	2.22507385850726e-308	2.22507385850726e-308
58	poj	gpt4_en_nan01_poj	58	0.1731018427814530	0.4491525423728810	0.2222222222222220	0.12931034482758600	0.06956521739130440
59	poj	gpt4_en_nan01_poj	59	0.0663154535221745	0.2827586206896550	0.06944444444444450	0.03496503496503500	0.028169014084507000
60	poj	gpt4_en_nan01_poj	60	0.3632703907932560	0.75	0.47368421052631600	0.2777777777777780	0.17647058823529400
61	poj	gpt4_en_nan01_poj	61	0.3304506249762470	0.6190476190476190	0.3902439024390240	0.275	0.1794871794871800
62	poj	gpt4_en_nan01_poj	62	3.24313483260767e-78	0.5448554027619870	0.19069939096669500	0.0501840502543935	2.12160114836625e-308
63	poj	gpt4_en_nan01_poj	63	0	0	0	0	0
64	poj	gpt4_en_nan01_poj	64	0.14054957778782800	0.44680851063829800	0.1827956989247310	0.10869565217391300	0.04395604395604400
65	poj	gpt4_en_nan01_poj	65	3.21097211251286e-155	0.22115384615384600	0.009708737864077670	2.22507385850726e-308	2.22507385850726e-308
66	poj	gpt4_en_nan01_poj	66	2.24400761609078e-78	0.37037037037037000	0.07692307692307690	0.04000000000000000	2.22507385850726e-308
67	poj	gpt4_en_nan01_poj	67	5.17793760416809e-155	0.27586206896551700	0.05263157894736840	2.22507385850726e-308	2.22507385850726e-308
68	poj	gpt4_en_nan01_poj	68	1.35316536905597e-231	0.3043478260869570	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
69	poj	gpt4_en_nan01_poj	69	4.32333419249832e-155	0.21875000000000000	0.03225806451612900	2.22507385850726e-308	2.22507385850726e-308
70	poj	gpt4_en_nan01_poj	70	0	0	0	0	0
71	poj	gpt4_en_nan01_poj	71	4.513314100762e-155	0.2619047619047620	0.03200000000000000	2.22507385850726e-308	2.22507385850726e-308
72	poj	gpt4_en_nan01_poj	72	5.88594537781205e-155	0.35555555555555600	0.06818181818181820	2.22507385850726e-308	2.22507385850726e-308
73	poj	gpt4_en_nan01_poj	73	1.26885235785086e-231	0.23529411764705900	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
74	poj	gpt4_en_nan01_poj	74	1.15454376746428e-231	0.16129032258064500	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
75	poj	gpt4_en_nan01_poj	75	1.91727621364223e-78	0.3	0.07692307692307690	0.026315789473684200	2.22507385850726e-308
76	poj	gpt4_en_nan01_poj	76	1.28822975391942e-231	0.25	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
77	poj	gpt4_en_nan01_poj	77	0	0	0	0	0
78	poj	gpt4_en_nan01_poj	78	1.90119884504332e-78	0.3170731707317070	0.07407407407407410	0.025	2.22507385850726e-308
79	poj	gpt4_en_nan01_poj	79	9.97486269044271e-232	0.1637461506155960	1.82173639582978e-308	1.82173639582978e-308	1.82173639582978e-308
80	poj	gpt4_en_nan01_poj	80	1.24593486533947e-231	0.21875000000000000	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
81	poj	gpt4_en_nan01_poj	81	1.27093415706964e-231	0.23684210526315800	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
82	poj	gpt4_en_nan01_poj	82	1.12004072377867e-231	0.14285714285714300	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
83	poj	gpt4_en_nan01_poj	83	1.2964094013419e-231	0.2564102564102560	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
84	poj	gpt4_en_nan01_poj	84	0	0	0	0	0
85	poj	gpt4_en_nan01_poj	85	1.20515938310516e-231	0.19148936170212800	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
86	poj	gpt4_en_nan01_poj	86	0.055866271164116800	0.3166666666666670	0.05084745762711870	0.03448275862068970	0.017543859649122800
87	poj	gpt4_en_nan01_poj	87	0	0	0	0	0
88	poj	gpt4_en_nan01_poj	88	1.04924818970616e-231	0.20874845846642700	1.79733850767056e-308	1.79733850767056e-308	1.79733850767056e-308
89	poj	gpt4_en_nan01_poj	89	1.21833248023757e-231	0.2	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
90	poj	gpt4_en_nan01_poj	90	1.12004072377867e-231	0.14285714285714300	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
91	poj	gpt4_en_nan01_poj	91	1.16200140800986e-78	0.28563067157338300	0.024096414680059100	0.012198809931779900	2.17146024672818e-308
92	poj	gpt4_en_nan01_poj	92	1.28822975391942e-231	0.25	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
93	poj	gpt4_en_nan01_poj	93	1.30557187527208e-231	0.26373626373626400	2.22507385850726e-308	2.22507385850726e-308	2.22507385850726e-308
94	poj	gpt4_en_nan01_poj	94	0	0	0	0	0
95	poj	gpt4_en_nan01_poj	95	1.18907105764488e-78	0.4101473026498870	0.030061932978315600	0.0075746602780007800	2.14048067859992e-308
96	poj	gpt4_en_nan01_poj	96	4.29795798047258e-155	0.38596491228070200	0.01785714285714290	2.22507385850726e-308	2.22507385850726e-308
